Player,Team,Position,Price,PricedAt,Breakeven,LastSeason,Owned
Hannah Munyard,Adelaide Crows,Midfielder,"$64,000",38,38,38,0.5
Charlotte Thomas,West Coast Eagles,Defender,"$63,900",38,38,38,0.8
Vaomua Laloifi,Carlton,Defender,"$63,600",38,38,38,0.6
Isabella Grant,Western Bulldogs,Forward,"$63,400",37,37,38,0.4
Deanna Berry,Western Bulldogs,Forward,"$63,400",37,37,28,0.1
Sophie Abbatangelo,Kangaroos,Forward,"$63,300",37,37,37,0.3
Kate Darby,Geelong Cats,Forward,"$63,200",37,37,37,0.1
Sarah Wright,Kangaroos,Forward,"$63,200",37,37,37,0.1
Sabrina Frederick,Collingwood,Forward,"$63,000",37,37,37,0.5
Tahlia Meyer,Gold Coast Suns,Midfielder,"$63,000",37,37,42,0.9
Brittany Perry,Port Adelaide,Forward,"$63,000",37,37,49,1
Amy Smith,Kangaroos,Midfielder,"$62,600",37,37,37,0.2
Zimmorlei Farquharson,Brisbane Lions,Forward,"$62,400",37,37,37,0.5
Sinead Goldrick,Melbourne,Defender,"$62,400",37,37,37,0.2
Nicola Xenos,St Kilda,Midfielder,"$62,200",37,37,37,0.4
Tahlia Randall,Kangaroos,Forward,"$62,100",37,37,37,0.3
Eliza James,Collingwood,Forward,"$61,400",36,36,36,0.3
Alison Brown,Melbourne,Forward,"$61,300",36,36,22,0.1
Jessica Wuetschner,Essendon,Forward,"$61,000",36,36,41,1.4
Erin McKinnon,St Kilda,Ruck,"$60,900",36,36,36,0.9
Maddy Collier,Sydney,Defender,"$60,900",36,36,36,6.9
Isabel Huntington,GWS Giants,Forward,"$60,700",36,36,19,0.5
Tait Mackrill,GWS Giants,Forward,"$60,600",36,36,36,0.5
Hannah Button,Adelaide Crows,Forward,"$60,200",36,36,36,1.3
Alana Porter,Collingwood,Defender,"$60,100",36,36,36,1.4
Olivia Fuller,Geelong Cats,Ruck,"$59,900",35,35,35,0.5
Justine Mules,Port Adelaide,Midfielder,"$59,900",35,35,35,1
Sarah Perkins,Hawthorn,Forward,"$59,700",35,35,35,0.9
Jessica Dal Pos,Carlton,Defender,"$59,200",35,35,35,2
Jac Dupuy,Gold Coast Suns,Forward,"$59,200",35,35,35,0
Nicole Bresnehan,Kangaroos,Defender,"$59,200",35,35,35,0.6
Shannon Campbell,Brisbane Lions,Defender,"$58,800",35,35,35,0.4
